;agreeableness;conscientiousness;extraversion;neuroticism;openness;✨;❤️;🥰;😍;🌱;😂;🌿;😋;🖤;🙌🏼;💛;🤤;💫;😅;👌🏼;🤗;💕;📷;👉🏼;🙏🏼;▪;🙈;✅;😘;🦋;💓;🥳;🤩;👏🏼;➡️
🖤;0.0468;0.66503;0.11965;0.13248;0.44959;0.48761;0.37335;0.52523;0.49917;0.44303;0.46277;0.78467;0.20971;1.0;0.38466;0.20585;0.53268;0.74022;0.94443;0.09119;0.52161;0.20955;0.52383;0.25089;0.99935;0.32187;0.04168;0.26572;0.17844;0.28652;0.10647;0.85503;0.58597;0.10493;0.04251
🙌🏼;0.39766;0.86991;0.06247;0.91288;0.35608;0.08081;0.57749;0.22802;0.06347;0.00019;0.45401;0.07422;0.31188;0.38466;1.0;0.29283;0.17936;0.01141;0.56215;1e-05;0.62149;0.33993;0.69047;0.00033;0.00111;0.22794;0.36957;0.30092;0.61142;0.96915;0.09664;0.15377;0.0927;0.0;0.07569
💛;0.42477;0.4232;0.57981;0.92327;0.98666;0.03647;0.33384;0.84862;0.3789;0.05259;0.69081;0.90272;0.96097;0.20585;0.29283;1.0;0.00077;0.04994;0.08518;0.2172;0.16269;0.56028;0.73235;0.46972;0.64771;0.79137;0.21285;0.82417;0.70707;0.04977;0.19805;0.07953;0.02946;0.50218;0.50903
🤤;0.00306;0.02268;0.24216;0.00469;0.19259;0.0347;0.8491;0.01276;0.61722;0.33603;0.67225;0.22442;0.40411;0.53268;0.17936;0.00077;1.0;0.32027;0.00331;0.01059;0.5447;0.2022;0.00729;0.11412;0.85645;0.53716;0.72026;0.16921;0.63937;0.53909;0.84639;0.00194;0.03268;0.05155;0.241
💫;0.23365;0.37283;0.07139;0.20965;0.95946;0.09487;0.80907;0.36685;0.80529;0.03525;0.47632;0.01442;0.69717;0.74022;0.01141;0.04994;0.32027;1.0;0.94509;0.00775;0.18565;0.08595;0.78765;0.02239;0.10944;0.10854;0.10711;0.43928;0.47407;0.0073;0.08265;0.22113;0.06391;0.00558;0.26849
😅;0.07609;0.06548;0.00742;0.05082;0.99791;0.85051;0.57386;0.02549;0.27999;0.46897;0.08642;0.75463;0.22506;0.94443;0.56215;0.08518;0.00331;0.94509;1.0;0.15209;0.90867;0.67082;0.00019;0.87468;0.29876;0.05384;0.51727;0.06966;0.51545;0.60875;0.35005;0.05781;0.01596;0.63618;0.37244
👌🏼;0.62943;0.29326;0.25979;0.18542;0.11622;0.40478;0.11695;0.01233;0.14274;0.00094;0.50358;0.11634;0.47493;0.09119;1e-05;0.2172;0.01059;0.00775;0.15209;1.0;0.66003;0.47047;0.04309;0.00097;0.05226;0.32187;0.98667;0.04991;0.40973;0.60859;0.57082;0.00814;0.2068;0.0;0.66197
🤗;0.18838;0.21742;0.38585;0.18292;0.72975;0.95997;0.62881;0.04907;0.84129;0.01952;0.8368;0.56467;0.18532;0.52161;0.62149;0.16269;0.5447;0.18565;0.90867;0.66003;1.0;0.12799;0.91266;0.51502;0.82265;0.31759;0.00097;0.72213;0.79634;0.05197;0.57558;0.05689;0.94684;0.40649;0.20713
💕;0.57205;0.07773;0.24878;0.03342;0.51564;0.35741;0.24978;0.72393;0.9202;0.89975;0.71341;0.9067;0.11027;0.20955;0.33993;0.56028;0.2022;0.08595;0.67082;0.47047;0.12799;1.0;0.3493;0.927;0.40558;0.1763;0.11008;0.75145;0.3262;0.48569;0.17943;0.56575;0.48315;0.32611;0.7708
📷;0.11943;0.0279;0.03658;0.01366;0.78303;0.20309;0.02149;0.00202;0.00842;0.47477;0.0408;0.44525;0.1054;0.52383;0.69047;0.73235;0.00729;0.78765;0.00019;0.04309;0.91266;0.3493;1.0;0.58996;0.37601;0.32521;0.62577;0.00405;0.07703;0.0205;0.46689;0.044;0.08653;0.33118;0.71988
👉🏼;0.35448;0.64376;0.82966;0.08569;0.16864;0.01046;0.83534;0.44022;0.64111;0.32043;0.9376;0.00643;0.36438;0.25089;0.00033;0.46972;0.11412;0.02239;0.87468;0.00097;0.51502;0.927;0.58996;1.0;0.34464;0.34858;0.91421;0.6785;0.3003;0.79078;0.5739;0.33659;0.35048;0.0002;0.98041
🙏🏼;0.05623;0.588;0.39548;0.25257;0.44462;0.23215;0.22997;0.43419;0.27193;0.0019;0.09767;0.32426;0.56732;0.99935;0.00111;0.64771;0.85645;0.10944;0.29876;0.05226;0.82265;0.40558;0.37601;0.34464;1.0;0.17004;0.36864;0.85793;0.99888;0.88344;0.03667;0.07477;0.25981;0.00786;0.58418
▪;0.05596;0.0993;0.57976;0.24402;0.54656;0.02405;0.94208;0.07879;0.04117;0.95351;0.11848;0.07356;0.15197;0.32187;0.22794;0.79137;0.53716;0.10854;0.05384;0.32187;0.31759;0.1763;0.32521;0.34858;0.17004;1.0;0.66338;0.59087;0.93286;0.20749;0.43769;0.10854;0.9808;0.20749;0.16248
🙈;0.07942;0.43265;0.25535;0.0502;0.9212;0.20883;0.24927;0.20632;0.96078;0.01186;0.37022;0.74246;0.45766;0.04168;0.36957;0.21285;0.72026;0.10711;0.51727;0.98667;0.00097;0.11008;0.62577;0.91421;0.36864;0.66338;1.0;0.79943;0.4705;0.04255;0.32498;0.4151;0.08335;0.43664;0.35067
✅;0.99469;0.21303;0.08471;0.32202;0.82278;0.6414;0.03153;0.26263;0.15507;0.43045;0.28508;0.92907;0.32087;0.26572;0.30092;0.82417;0.16921;0.43928;0.06966;0.04991;0.72213;0.75145;0.00405;0.6785;0.85793;0.59087;0.79943;1.0;0.92849;0.83968;0.72023;0.88127;0.21953;0.21759;0.98692
😘;0.62139;0.25222;0.82874;0.89044;0.10974;0.91464;0.18746;0.08067;0.00529;0.82405;0.0788;0.00891;0.125;0.17844;0.61142;0.70707;0.63937;0.47407;0.51545;0.40973;0.79634;0.3262;0.07703;0.3003;0.99888;0.93286;0.4705;0.92849;1.0;0.37448;0.99929;0.20049;0.0328;0.94032;0.09641
🦋;0.016;0.03446;0.20677;0.00035;0.54733;0.45027;0.72276;0.52114;0.09827;0.93037;0.51927;0.24006;0.02433;0.28652;0.96915;0.04977;0.53909;0.0073;0.60875;0.60859;0.05197;0.48569;0.0205;0.79078;0.88344;0.20749;0.04255;0.83968;0.37448;1.0;0.95774;0.61416;0.98335;0.67631;0.29483
💓;0.29549;0.04941;0.02485;0.23695;0.99512;0.01078;0.02889;0.96578;0.76781;0.1909;0.04777;0.9386;0.61247;0.10647;0.09664;0.19805;0.84639;0.08265;0.35005;0.57082;0.57558;0.17943;0.46689;0.5739;0.03667;0.43769;0.32498;0.72023;0.99929;0.95774;1.0;0.66173;0.63757;0.02109;0.33334
🥳;0.45689;0.91371;0.75869;0.4236;0.97332;0.43203;0.39476;0.0;0.91361;0.00255;0.74798;0.54438;0.07546;0.85503;0.15377;0.07953;0.00194;0.22113;0.05781;0.00814;0.05689;0.56575;0.044;0.33659;0.07477;0.10854;0.4151;0.88127;0.20049;0.61416;0.66173;1.0;0.00114;0.02815;0.16822
🤩;0.65577;0.23886;0.88308;0.83498;0.66351;0.21007;0.571;9e-05;0.35052;0.05177;0.64997;0.84826;0.15599;0.58597;0.0927;0.02946;0.03268;0.06391;0.01596;0.2068;0.94684;0.48315;0.08653;0.35048;0.25981;0.9808;0.08335;0.21953;0.0328;0.98335;0.63757;0.00114;1.0;0.07181;0.78809
👏🏼;0.97693;0.48572;0.05408;0.85557;0.17113;0.00225;0.50241;0.00987;0.16814;0.00321;0.1429;0.00632;0.03353;0.10493;0.0;0.50218;0.05155;0.00558;0.63618;0.0;0.40649;0.32611;0.33118;0.0002;0.00786;0.20749;0.43664;0.21759;0.94032;0.67631;0.02109;0.02815;0.07181;1.0;0.22547
➡️;0.51511;0.48236;0.17325;0.6395;0.61544;0.2711;0.39824;0.69122;0.26315;0.221;0.47327;0.72505;0.42592;0.04251;0.07569;0.50903;0.241;0.26849;0.37244;0.66197;0.20713;0.7708;0.71988;0.98041;0.58418;0.16248;0.35067;0.98692;0.09641;0.29483;0.33334;0.16822;0.78809;0.22547;1.0
